what,link
comparisons-tool,https://docs.google.com/spreadsheets/d/e/2PACX-1vTQLeh9W9SjUZ6DDhTqwSTpe_GDRwI_SytVkpKinC03EHTkIzNwQGi9WTNXQNvAienKox-nRVoXax6q/pub?gid=2021488932&single=true&output=csv
competences-map-skill,https://docs.google.com/spreadsheets/d/e/2PACX-1vTQLeh9W9SjUZ6DDhTqwSTpe_GDRwI_SytVkpKinC03EHTkIzNwQGi9WTNXQNvAienKox-nRVoXax6q/pub?gid=1102379250&single=true&output=csv
competences-map-tech,https://docs.google.com/spreadsheets/d/e/2PACX-1vTQLeh9W9SjUZ6DDhTqwSTpe_GDRwI_SytVkpKinC03EHTkIzNwQGi9WTNXQNvAienKox-nRVoXax6q/pub?gid=69283078&single=true&output=csv
projects-description,https://docs.google.com/spreadsheets/d/e/2PACX-1vTQLeh9W9SjUZ6DDhTqwSTpe_GDRwI_SytVkpKinC03EHTkIzNwQGi9WTNXQNvAienKox-nRVoXax6q/pub?gid=1121440237&single=true&output=csv
ecosystems,https://docs.google.com/spreadsheets/d/e/2PACX-1vTQLeh9W9SjUZ6DDhTqwSTpe_GDRwI_SytVkpKinC03EHTkIzNwQGi9WTNXQNvAienKox-nRVoXax6q/pub?gid=1551529917&single=true&output=csv
entities,https://docs.google.com/spreadsheets/d/e/2PACX-1vTQLeh9W9SjUZ6DDhTqwSTpe_GDRwI_SytVkpKinC03EHTkIzNwQGi9WTNXQNvAienKox-nRVoXax6q/pub?gid=1820868946&single=true&output=csv
projects-pipeline,https://docs.google.com/spreadsheets/d/e/2PACX-1vTQLeh9W9SjUZ6DDhTqwSTpe_GDRwI_SytVkpKinC03EHTkIzNwQGi9WTNXQNvAienKox-nRVoXax6q/pub?gid=1938802089&single=true&output=csv
translation-tactics,https://docs.google.com/spreadsheets/d/e/2PACX-1vTQLeh9W9SjUZ6DDhTqwSTpe_GDRwI_SytVkpKinC03EHTkIzNwQGi9WTNXQNvAienKox-nRVoXax6q/pub?gid=1291967353&single=true&output=csv
